tvmonitor;0.966240;1.826561:-0.613739:0.000000;0.632481:0.000000:0.000000:-0.774576;22.091906
tvmonitor;0.972057;1.826561:-0.613739:0.000000;0.632481:0.000000:0.000000:-0.774576;22.193644
tvmonitor;0.970431;1.826561:-0.613739:0.000000;0.632481:0.000000:0.000000:-0.774576;22.295205
tvmonitor;0.966524;1.826561:-0.613739:0.000000;0.632481:0.000000:0.000000:-0.774576;22.396741
tvmonitor;0.970223;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;22.498820
tvmonitor;0.975478;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;22.600815
tvmonitor;0.974351;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;22.702580
tvmonitor;0.972973;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;22.803828
tvmonitor;0.968671;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;22.907376
tvmonitor;0.970056;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;23.008974
tvmonitor;0.982321;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;23.110618
tvmonitor;0.977925;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;23.212724
tvmonitor;0.975086;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;23.315384
tvmonitor;0.974915;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;23.417325
tvmonitor:tvmonitor;0.974340:0.734287;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;23.520298
tvmonitor:tvmonitor;0.972879:0.824378;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;23.621729
tvmonitor;0.973860;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;23.720835
tvmonitor;0.975567;1.846602:-0.508767:0.000000;0.624658:0.000000:0.000000:-0.780898;23.822610
tvmonitor;0.976097;1.867098:-0.391959:0.000000;0.629060:0.000000:0.000000:-0.777357;23.923224
tvmonitor;0.968158;1.867098:-0.391959:0.000000;0.629060:0.000000:0.000000:-0.777357;24.024640
tvmonitor;0.970986;1.867098:-0.391959:0.000000;0.629060:0.000000:0.000000:-0.777357;24.126385
tvmonitor;0.962795;1.867098:-0.391959:0.000000;0.629060:0.000000:0.000000:-0.777357;24.230532
tvmonitor;0.966556;1.867098:-0.391959:0.000000;0.629060:0.000000:0.000000:-0.777357;24.332922
tvmonitor;0.976305;1.867098:-0.391959:0.000000;0.629060:0.000000:0.000000:-0.777357;24.433567
tvmonitor;0.970795;1.878930:-0.254507:0.000000;0.632803:0.000000:0.000000:-0.774313;24.535311
tvmonitor;0.954105;1.878930:-0.254507:0.000000;0.632803:0.000000:0.000000:-0.774313;24.638532
tvmonitor;0.942952;1.888569:-0.137653:0.000000;0.634668:0.000000:0.000000:-0.772785;24.739628
tvmonitor;0.944389;1.888569:-0.137653:0.000000;0.634668:0.000000:0.000000:-0.772785;24.839585
tvmonitor;0.941022;1.888569:-0.137653:0.000000;0.634668:0.000000:0.000000:-0.772785;24.941914
tvmonitor;0.948558;1.888569:-0.137653:0.000000;0.634668:0.000000:0.000000:-0.772785;25.043615
tvmonitor;0.914650;1.888569:-0.137653:0.000000;0.634668:0.000000:0.000000:-0.772785;25.146125
tvmonitor;0.933800;1.904970:-0.025133:0.000000;0.637784:0.000000:0.000000:-0.770215;25.248539
tvmonitor;0.921580;1.904970:-0.025133:0.000000;0.637784:0.000000:0.000000:-0.770215;25.350451
tvmonitor;0.961595;1.904970:-0.025133:0.000000;0.637784:0.000000:0.000000:-0.770215;25.451882
tvmonitor;0.971702;1.904970:-0.025133:0.000000;0.637784:0.000000:0.000000:-0.770215;25.554286
tvmonitor;0.955977;1.919197:0.102551:0.000000;0.639783:0.000000:0.000000:-0.768555;25.655093
tvmonitor;0.963519;1.919197:0.102551:0.000000;0.639783:0.000000:0.000000:-0.768555;25.756614
tvmonitor;0.957056;1.919197:0.102551:0.000000;0.639783:0.000000:0.000000:-0.768555;25.858092
tvmonitor;0.962389;1.919197:0.102551:0.000000;0.639783:0.000000:0.000000:-0.768555;25.960503
tvmonitor;0.938682;1.919197:0.102551:0.000000;0.639783:0.000000:0.000000:-0.768555;26.063154
tvmonitor;0.981595;1.934881:0.225089:0.000000;0.639867:0.000000:0.000000:-0.768486;26.164518
tvmonitor;0.990828;1.934881:0.225089:0.000000;0.639867:0.000000:0.000000:-0.768486;26.268334
tvmonitor;0.992114;1.934881:0.225089:0.000000;0.639867:0.000000:0.000000:-0.768486;26.368229
tvmonitor;0.990236;1.949872:0.336874:0.000000;0.639324:0.000000:0.000000:-0.768938;26.470226
tvmonitor;0.993589;1.949872:0.336874:0.000000;0.639324:0.000000:0.000000:-0.768938;26.572099
tvmonitor;0.988389;1.949872:0.336874:0.000000;0.639324:0.000000:0.000000:-0.768938;26.674977
tvmonitor;0.990333;1.949872:0.336874:0.000000;0.639324:0.000000:0.000000:-0.768938;26.775056
tvmonitor;0.989833;1.949872:0.336874:0.000000;0.639324:0.000000:0.000000:-0.768938;26.878021
tvmonitor;0.992462;1.956197:0.448896:0.000000;0.640182:0.000000:0.000000:-0.768224;26.978477
tvmonitor;0.992938;1.956197:0.448896:0.000000;0.640182:0.000000:0.000000:-0.768224;27.082026
tvmonitor;0.991409;1.956197:0.448896:0.000000;0.640182:0.000000:0.000000:-0.768224;27.183820
tvmonitor;0.992539;1.956197:0.448896:0.000000;0.640182:0.000000:0.000000:-0.768224;27.284909
tvmonitor;0.990834;1.956197:0.448896:0.000000;0.640182:0.000000:0.000000:-0.768224;27.387023
tvmonitor;0.989558;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;27.489152
tvmonitor;0.983535;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;27.590367
tvmonitor;0.987555;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;27.691940
tvmonitor;0.994399;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;27.793777
tvmonitor;0.992734;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;27.896284
tvmonitor;0.994845;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;27.998486
tvmonitor;0.991899;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;28.102025
tvmonitor;0.992148;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;28.202175
tvmonitor;0.993020;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;28.303838
tvmonitor;0.990703;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;28.404462
tvmonitor;0.991241;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;28.505886
tvmonitor;0.991151;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;28.607003
tvmonitor;0.992152;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;28.709299
tvmonitor;0.991554;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;28.810647
tvmonitor;0.992824;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;28.913225
